"""""",BEAT,Bias,Bias Category (Sheet1),BIAS TYPE (NEW),Category,Conditional Formatting,Definition,GO Number,Incident Date,Incomplete Month Marker,Incomplete Qtr,Map ,Mcpp,Neighborho,PCT,PCT Full,Precinct,PRECINCT,precinct (PCT MAP.shp),Sheet,Specific Bias Type,Table Name,2012,2013,2014,2015,2016,2017,2018,Geometry,Geometry (PCT MAP.shp),Number of Records,Placeholder,St Area Sh,st area sh (PCT MAP.shp),St Length,st length  (PCT MAP.shp)
,M1,Gay & Lesbian,NON-CRIMINAL BIAS INCIDENTS,Sexual Orientation,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-26281,1/27/2012,Complete Month,Complete Quarters,MCPP Map,BELLTOWN,BELLTOWN,WEST,WEST,W,WEST,W,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,13262023.28,390396335.5,17851.41917,115256.614
,B1,Black,MALICIOUS HARASSMENT,Race/Ethnicity/Ancestry,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-42909,2/12/2012,Complete Month,Complete Quarters,MCPP Map,BALLARD SOUTH,BALLARD SOUTH,NORTH,NORTH,N,NORTH,N,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,58863907.01,971139984.3,38678.59026,135039.609
,M3,Black,CRIME WITH BIAS ELEMENTS,Race/Ethnicity/Ancestry,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-47745,2/16/2012,Complete Month,Complete Quarters,MCPP Map,DOWNTOWN COMMERCIAL,DOWNTOWN COMMERCIAL,WEST,WEST,W,WEST,W,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,17323403.09,390396335.5,20647.66876,115256.614
,E1,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-59409,2/24/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,B1,Gay,CRIME WITH BIAS ELEMENTS,Sexual Orientation,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-57098,2/25/2012,Complete Month,Complete Quarters,MCPP Map,BALLARD SOUTH,BALLARD SOUTH,NORTH,NORTH,N,NORTH,N,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,58863907.01,971139984.3,38678.59026,135039.609
,S2,Gay & Lesbian,CRIME WITH BIAS ELEMENTS,Sexual Orientation,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-64321,2/26/2012,Complete Month,Complete Quarters,MCPP Map,BRIGHTON/DUNLAP,BRIGHTON/DUNLAP,SOUTH,SOUTH,S,SOUTH,S,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,25072155.63,509519351.6,22352.39323,141935.7323
,E3,Catholic,MALICIOUS HARASSMENT,Religion,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-63867,3/1/2012,Complete Month,Complete Quarters,MCPP Map,FIRST HILL,FIRST HILL,EAST,EAST,E,EAST,E,2012,Anti-Catholic,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,15541724.16,225229640.6,20459.84967,68433.63449
,E1,Gay & Lesbian,NON-CRIMINAL BIAS INCIDENTS,Sexual Orientation,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-70181,3/7/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,D2,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-77650,3/14/2012,Complete Month,Complete Quarters,MCPP Map,SLU/CASCADE,SLU/CASCADE,WEST,WEST,W,WEST,W,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,31657305.5,390396335.5,29369.50227,115256.614
,Q3,Gay & Lesbian,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-82120,3/18/2012,Complete Month,Complete Quarters,MCPP Map,QUEEN ANNE,QUEEN ANNE,WEST,WEST,W,WEST,W,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,105096226.9,390396335.5,46622.57468,115256.614
,E1,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-83374,3/19/2012,Complete Month,Complete Quarters,MCPP Map,CAPITOL HILL,CAPITOL HILL,EAST,EAST,E,EAST,E,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,30328037.5,225229640.6,30052.62763,68433.63449
,F3,White,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-100612,4/3/2012,Complete Month,Complete Quarters,MCPP Map,SOUTH DELRIDGE,SOUTH DELRIDGE,SW,SOUTHWEST,SW,SW,SW,2012,Anti-White,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,3577942.363,547007503.5,8996.661825,128227.6741
,L2,Amer Ind/Alaska Nat,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-101756,4/4/2012,Complete Month,Complete Quarters,MCPP Map,NORTHGATE,NORTHGATE,NORTH,NORTH,N,NORTH,N,2012,Anti-American Indian Or Alaska Native,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,132689323.6,971139984.3,51398.03811,135039.609
,O3,Other Ethnicity,CRIME WITH BIAS ELEMENTS,Race/Ethnicity/Ancestry,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-103784,4/6/2012,Complete Month,Complete Quarters,MCPP Map,GEORGETOWN,GEORGETOWN,SOUTH,SOUTH,S,SOUTH,S,2012,Anti-Other Race/Ethicity/Ancestry,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,79716354.81,509519351.6,59129.83529,141935.7323
,E3,Catholic,MALICIOUS HARASSMENT,Religion,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-106475,4/8/2012,Complete Month,Complete Quarters,MCPP Map,FIRST HILL,FIRST HILL,EAST,EAST,E,EAST,E,2012,Anti-Catholic,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,15541724.16,225229640.6,20459.84967,68433.63449
,Q1,Jewish,CRIME WITH BIAS ELEMENTS,Religion,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-111312,4/12/2012,Complete Month,Complete Quarters,MCPP Map,MAGNOLIA,MAGNOLIA,WEST,WEST,W,WEST,W,2012,Anti-Jewish,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,180449287.4,390396335.5,58792.06851,115256.614
,B3,Gay & Lesbian,CRIME WITH BIAS ELEMENTS,Sexual Orientation,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-116906,4/17/2012,Complete Month,Complete Quarters,MCPP Map,WALLINGFORD,WALLINGFORD,NORTH,NORTH,N,NORTH,N,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,48520815.63,971139984.3,33599.17483,135039.609
,L2,Catholic,MALICIOUS HARASSMENT,Religion,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-117786,4/18/2012,Complete Month,Complete Quarters,MCPP Map,NORTHGATE,NORTHGATE,NORTH,NORTH,N,NORTH,N,2012,Anti-Catholic,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,132689323.6,971139984.3,51398.03811,135039.609
,M1,Lesbian,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-121884,4/21/2012,Complete Month,Complete Quarters,MCPP Map,DOWNTOWN COMMERCIAL,DOWNTOWN COMMERCIAL,WEST,WEST,W,WEST,W,2012,Anti-Lesbian,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,17323403.09,390396335.5,20647.66876,115256.614
,G2,Gay & Lesbian,NON-CRIMINAL BIAS INCIDENTS,Sexual Orientation,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-126831,4/25/2012,Complete Month,Complete Quarters,MCPP Map,CENTRAL AREA/SQUIRE PARK,CENTRAL AREA/SQUIRE PARK,EAST,EAST,E,EAST,E,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,36998283.76,225229640.6,28582.29161,68433.63449
,K2,Sexual Identity,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-127080,4/26/2012,Complete Month,Complete Quarters,MCPP Map,DOWNTOWN COMMERCIAL,DOWNTOWN COMMERCIAL,WEST,WEST,W,WEST,W,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,17323403.09,390396335.5,20647.66876,115256.614
,U3,Jewish,CRIME WITH BIAS ELEMENTS,Religion,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-128732,4/27/2012,Complete Month,Complete Quarters,MCPP Map,SANDPOINT,SANDPOINT,NORTH,NORTH,N,NORTH,N,2012,Anti-Jewish,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,175845013.3,971139984.3,74002.77305,135039.609
,N2,White,MALICIOUS HARASSMENT,Race/Ethnicity/Ancestry,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-130417,4/28/2012,Complete Month,Complete Quarters,MCPP Map,BITTERLAKE,BITTERLAKE,NORTH,NORTH,N,NORTH,N,2012,Anti-White,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,92314813.72,971139984.3,43678.57557,135039.609
,J2,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-139687,5/6/2012,Complete Month,Complete Quarters,MCPP Map,BALLARD NORTH,BALLARD NORTH,NORTH,NORTH,N,NORTH,N,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,124934005.1,971139984.3,49759.67168,135039.609
,R3,Gay & Lesbian,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-140545,5/7/2012,Complete Month,Complete Quarters,MCPP Map,COLUMBIA CITY,COLUMBIA CITY,SOUTH,SOUTH,S,SOUTH,S,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,12954593.98,509519351.6,15714.86348,141935.7323
,R2,Islamic,CRIME WITH BIAS ELEMENTS,Religion,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-142908,5/9/2012,Complete Month,Complete Quarters,MCPP Map,MOUNT BAKER,MOUNT BAKER,SOUTH,SOUTH,S,SOUTH,S,2012,Anti-Islamic (Muslim),2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,32160761.63,509519351.6,26684.11695,141935.7323
,S2,Jewish,CRIME WITH BIAS ELEMENTS,Religion,CRIME WITH BIAS ELEMENTS,A,Usually involves the commission of any crime that is not bias based and during the incident the suspect uses a derogatory comment directed at the victim’s protected status or group (State and Municipal codes will vary depending upon the crime).,2012-142991,5/9/2012,Complete Month,Complete Quarters,MCPP Map,BRIGHTON/DUNLAP,BRIGHTON/DUNLAP,SOUTH,SOUTH,S,SOUTH,S,2012,Anti-Jewish,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,25072155.63,509519351.6,22352.39323,141935.7323
,L1,Gay,MALICIOUS HARASSMENT,Sexual Orientation,MALICIOUS HARASSMENT,A,"Sometimes referred to as Hate Crimes or Bias Crimes. Crimes in which the motivation for the suspect targeting a particular person was based on their belief about the victims’ race, color, religion, national origin, sexual orientation, mental, physical, or sensory handicap, homelessness, marital status, age, parental status, gender, or political ideology. This usually involves an assault, property damage, or threat of harm. This can be a violation of federal law, state (RCW 9A.36.080), or municipal code (SMC 12A.06.115)",2012-148754,5/14/2012,Complete Month,Complete Quarters,MCPP Map,LAKECITY,LAKECITY,NORTH,NORTH,N,NORTH,N,2012,"Anti-Lesbian, Gay, Bisexual, Or Transgender (Mixed Group)",2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,85899582.65,971139984.3,44835.19181,135039.609
,M3,Black,NON-CRIMINAL BIAS INCIDENTS,Race/Ethnicity/Ancestry,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-168370,5/14/2012,Complete Month,Complete Quarters,MCPP Map,DOWNTOWN COMMERCIAL,DOWNTOWN COMMERCIAL,WEST,WEST,W,WEST,W,2012,Anti-Black Or African American,2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,17323403.09,390396335.5,20647.66876,115256.614
,F1,Islamic,NON-CRIMINAL BIAS INCIDENTS,Religion,NON-CRIMINAL BIAS INCIDENTS,A,"Refers to offensive derogatory comments directed at a person’s sexual orientation, race, or other protected status. While not criminal in nature because they fall into the free speech realm, the comments may cause a level of fear and concern in the targeted community. Victims can generally feel harassed, intimidated, and offended by such comments. (No code assigned).",2012-155865,5/20/2012,Complete Month,Complete Quarters,MCPP Map,HIGH POINT,HIGH POINT,SW,SOUTHWEST,SW,SW,SW,2012,Anti-Islamic (Muslim),2012,1,0,0,0,0,0,0,Polygon,Polygon,1,0,23709343.94,547007503.5,22056.92323,128227.6741
